ID	Artist	Title	Link	Origin	Not in use	Voice
	Billie Eilish	when the party's over	http://www.youtube.com/watch?v=sluLx2JlLqw	Foreign		
	Billie Eilish	everything i wanted	http://www.youtube.com/watch?v=0J_z7RjLZfo	Foreign		
	Billie Eilish	i love you	http://www.youtube.com/watch?v=PTmcRmDyJlY	Foreign		
	Billie Eilish	No Time To Die	http://www.youtube.com/watch?v=ioqGmaBHUrk	Foreign		
	Billie Eilish	wish you were gay	http://www.youtube.com/watch?v=IOzAmILqFkI	Foreign		
	Birdy	Skinny Love	http://www.youtube.com/watch?v=sndK-GAOLPM	Foreign		
	BLACKPINK	How You Like That	http://www.youtube.com/watch?v=9F3bo-bu07s	Foreign		
	BLACKPINK	Kill This Love	http://www.youtube.com/watch?v=YoWJa7GWzk4	Foreign		
	BLACKPINK, Selena Gomez	Ice Cream	http://www.youtube.com/watch?v=N7kV59gpJjg	Foreign		
	Boa	Tako lijepa	https://www.youtube.com/watch?v=SViYA0F1fiw	EX-YU		
	Bobby Helms	Jingle Bell Rock	http://www.youtube.com/watch?v=u0yAWWpqFHQ	Foreign		
	Bon Jovi	Always	http://www.youtube.com/watch?v=RBgimRYxorE	Foreign		
	Bon Jovi	Bed Of Roses	http://www.youtube.com/watch?v=fBGaQoyEz1o	Foreign		
	Boris Kopitar	Bo moj vnuk še pel slovenske pesmi	https://www.youtube.com/watch?v=1DWztlnpnac	SLO		
	Božični zborček	Bela Snežinka	https://www.youtube.com/watch?v=GTN8lQY4Ers	SLO		
	Brenda Lee	Rockin' Around The Christmas Tree	http://www.youtube.com/watch?v=dETgVcucAxo	Foreign		
	Brendi	Zelene oči	https://www.youtube.com/watch?v=7WWw-Qub_rY	SLO		
	Britney Spears	...Baby One More Time	http://www.youtube.com/watch?v=PYpU2TxIzAM	Foreign		
	Britney Spears	Toxic	http://www.youtube.com/watch?v=prgoLEZTit0	Foreign		
	Britney Spears	Everytime	http://www.youtube.com/watch?v=2EaDDg5tVUg	Foreign		
	BTS	Dynamite	http://www.youtube.com/watch?v=V9aFf48jLPQ	Foreign		
	California	Ustavil bi čas	https://www.youtube.com/watch?v=aawUMaJ3G3o	SLO		
	Calum Scott	You Are The Reason	http://www.youtube.com/watch?v=zMcfZyb5wCo	Foreign		
	Calum Scott	Dancing On My Own	http://www.youtube.com/watch?v=DvEXv4Shx7s	Foreign		
	Camila Cabello ft. Young Thug	Havana	http://www.youtube.com/watch?v=dd2nfgicFds	Foreign		
	Cardi B	Bodak Yellow	http://www.youtube.com/watch?v=1g8S-enLQ60	Foreign		
	Carrie Underwood	Before He Cheats	http://www.youtube.com/watch?v=AqYrOoZpsjg	Foreign		
	Céline Dion	My Heart Will Go On	http://www.youtube.com/watch?v=cdgU8YmD3Kc	Foreign		
	Céline Dion	It's All Coming Back To Me Now	http://www.youtube.com/watch?v=q2VpIxVFCRk	Foreign	1	
	Céline Dion	Because You Loved Me	http://www.youtube.com/watch?v=sPu9jduC1HI	Foreign		
	Charlie Puth	One Call Away	http://www.youtube.com/watch?v=1hx2ynaUaHY	Foreign		
	Charlie Puth	Attention	http://www.youtube.com/watch?v=6I3lHjuNn7g	Foreign		
	Charlie Puth ft. Meghan Trainor	Marvin Gaye	http://www.youtube.com/watch?v=fQcKB3IEK9k	Foreign		
