ID	Artist	Title	Link	Origin	Not in use	Voice
	Anne Murray	I Just Fall In Love Again	https://youtube.com/watch?v=DcmhqGrO1NU	Foreign		
	Anne Murray	Broken Hearted Me	https://youtube.com/watch?v=NoTI_WdDQ40	Foreign		
	Another Day	Paul McCartney	https://youtube.com/watch?v=LtNbaGnss64	Foreign		
	Aretha Franklin	I Say A Little Prayer	https://youtube.com/watch?v=MVYfsVvqO-s	Foreign		
	Ariana Grande	7 Rings	http://www.youtube.com/watch?v=7BfhCUB_YkI	Foreign		
	Ariana Grande	Dangerous Woman	http://www.youtube.com/watch?v=jppqAygqVTc	Foreign		
	Ariana Grande	One Last Time	http://www.youtube.com/watch?v=Ca-PCQ2LMk4	Foreign		
	Ariana Grande	thank u, next	http://www.youtube.com/watch?v=KqrDah9PD_c	Foreign		
	Ariana Grande and Iggy Azalea	Problem	http://www.youtube.com/watch?v=YXVxusIRT5A	Foreign		
	Ariana Grande and Zedd	Break Free	http://www.youtube.com/watch?v=L2YJD9urLdA	Foreign		
	Ariana Grande ft. Nathan Sykes	Almost Is Never Enough	http://www.youtube.com/watch?v=4G4tntY30Qw	Foreign		
	Ariana Grande ft. Nicki Minaj	Side To Side	http://www.youtube.com/watch?v=GlkwnJTIrcI	Foreign		
	Ariana Grande, John Legend	Beauty & The Beast	http://www.youtube.com/watch?v=RH43YE20y-0	Foreign		
	Atomsko sklonište	Treba imat dušu	https://www.youtube.com/watch?v=tbn7Z8b-xtc	EX-YU		
	Auli'i Cravalho	How Far I'll Go	http://www.youtube.com/watch?v=a5LOjg1EiAk	Foreign		
	Avia Band	Sava šumi	https://www.youtube.com/watch?v=u3OmqW7ahmc	SLO		
	Avseniki	Tam, kjer murke cveto	https://www.youtube.com/watch?v=NDPmSxK40q0	SLO		
	Avseniki	Planica	https://www.youtube.com/watch?v=ORnJOW5VvCo	SLO		
	B. J. Thomas	Raindrops Keep Fallin' On My Head	https://youtube.com/watch?v=OK75QiNpgAQ	Foreign		
	B. J. Thomas	Raindrops Keep Fallin' On My Head	https://youtube.com/watch?v=wPgK0eGBmxo	Foreign		
	Babilon	Nikoli več	https://www.youtube.com/watch?v=vOD16oDGA1M	SLO		
	Bachman-Turner Overdrive	You Ain't Seen Nothing Yet	https://youtube.com/watch?v=zsrep4unMOk	Foreign		
	Backstreet Boys	I Want It That Way	http://www.youtube.com/watch?v=NxilU56kPu0	Foreign		
	Bad Company	Feel Like Makin' Love	https://youtube.com/watch?v=awp8HDUmSYA	Foreign		
	Badfinger	Day After Day	https://youtube.com/watch?v=70uwGvxChXU	Foreign		
	Bajaga i Instruktori	Sa druge strane jastuka	https://www.youtube.com/watch?v=sIKzrGVViNc	EX-YU		
	Bajaga i Instruktori	220 u voltima	https://www.youtube.com/watch?v=sg45sRVon38	EX-YU		
	Bajaga i Instruktori	Bam, bam, bam	https://www.youtube.com/watch?v=dU5ka7qjIqE	EX-YU		
	Bajaga i Instruktori	Plavi safir	https://www.youtube.com/watch?v=woilosxzcgE	EX-YU		
	Barry Manilow	Mandy	https://youtube.com/watch?v=RFsanTfNPiE	Foreign		
	Barry Manilow	Medley	https://youtube.com/watch?v=b6iZFPozVdo	Foreign		
